sku,Item Name,item-name-suggested,sales_description,brand,manufacturer,shopify_collection,variant_1_name,variant_1_value,variant_2_name,variant_2_value,variant_3_name,variant_3_value,package_length,package_width,package_height,package_weight,dimension_unit,enrichment_comments
260-160-011,WAVEONE GOLDCONFORM FIT GUTTA,,"WaveOne Gold Gutta Percha Points feature 'Conform Fit' technology, matching the variable taper of WaveOne Gold files for a precise fit. Latex-free and designed for deeper thermal transfer during warm obturation.",Dentsply Sirona,Dentsply Sirona,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-130-056,"BA ULTIMATE POWER + BA755LK,",BA ULTIMATE POWER + BA755LK,"BA Ultimate Power+ (BA755LK) is a premium high-speed turbine handpiece with a KaVo-style connection. Features a titanium body, fibre optics, and ceramic bearings for durability.",BA International,BA International,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-130-002,EXCAVATOR ENDODONTIC 32L,EXCAVATOR ENDODONTIC - 32l,Endodontic Excavators (31L/32L/33L) feature extended shanks and spoon-shaped tips for removing carious dentin and locating canal orifices in deep pulp chambers.,Hu-Friedy,Hu-Friedy,EXCAVATOR ENDODONTIC,Volume,32l,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-210-005,M-SERIES PLUGGER/SPREADER #20,SERIES PLUGGER/SPREADER - Medium,"Endodontic Spreaders are pointed instruments used for lateral condensation of gutta-percha points. Smooth, conical shape allows for deep penetration.",Hu-Friedy,Hu-Friedy,SERIES PLUGGER/SPREADER,Size,Medium,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-130-003,EXCAVATOR ENDODONTIC 33L,EXCAVATOR ENDODONTIC - 33l,Endodontic Excavators (31L/32L/33L) feature extended shanks and spoon-shaped tips for removing carious dentin and locating canal orifices in deep pulp chambers.,Hu-Friedy,Hu-Friedy,EXCAVATOR ENDODONTIC,Volume,33l,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-130-001,EXCAVATOR ENDODONTIC 31L,EXCAVATOR ENDODONTIC - 31l,Endodontic Excavators (31L/32L/33L) feature extended shanks and spoon-shaped tips for removing carious dentin and locating canal orifices in deep pulp chambers.,Hu-Friedy,Hu-Friedy,EXCAVATOR ENDODONTIC,Volume,31l,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-042,SCHLUGER #9/10 FILE,SCHLUGER /10 FILE - 9,The Schluger 9/10 File is a periodontal bone file designed for interproximal bone reduction and removal of granulomatous tissue. Features a double-ended design with serrated cutting edges.,Hu-Friedy,Hu-Friedy,SCHLUGER /10 FILE,Size,9,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-210-001,ENDODONTIC PLUGGER 1/3,,Endodontic Pluggers are designed for the vertical condensation of gutta-percha. Features a flat tip and ISO sizing for precise depth control.,Hu-Friedy,Hu-Friedy,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-210-003,ENDODONTIC PLUGGER 5/7,,Endodontic Pluggers are designed for the vertical condensation of gutta-percha. Features a flat tip and ISO sizing for precise depth control.,Hu-Friedy,Hu-Friedy,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-041,LATCH REAMER EXTENSION,,"Bicon Latch Reamers are specialized slow-speed (50 RPM) titanium alloy instruments designed for implant site preparation and bone harvesting. Feature depth markings and a latch-type shank for 20:1 reduction handpieces. Do not require irrigation, allowing for visibility and autogenous bone collection.",Bicon,Bicon,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-170-003,FORMOCRESOL,,Formocresol is a pulpotomy medicament used for vital pulpotomy procedures in primary teeth. Acts as a fixative and bactericidal agent.,Sultan Healthcare,Sultan Healthcare,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-200-003,ISOFOLAN 0.10/125MM ROUND (100,ISOFOLAN 0.10/125mm ROUND (100,Isofolan is an ultra-thin (0.1mm) forming foil used as a spacer and insulation layer for pressure molding techniques. Separates plaster from acrylic to ensure a smooth finish.,Scheu-Dental,Scheu-Dental,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-200-010,RUBBER DAM CLAMP 00,,"Stainless Steel Rubber Dam Clamps designed for secure retention of the dental dam. Available in various Winged and Wingless shapes (e.g., W14, 12A, 13A) to fit specific tooth anatomies.",Pearson,Pearson,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-200-011,RUBBER DAM CLAMP 12A,,"Stainless Steel Rubber Dam Clamps designed for secure retention of the dental dam. Available in various Winged and Wingless shapes (e.g., W14, 12A, 13A) to fit specific tooth anatomies.",Pearson,Pearson,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-200-012,RUBBER DAM CLAMP 13A,,"Stainless Steel Rubber Dam Clamps designed for secure retention of the dental dam. Available in various Winged and Wingless shapes (e.g., W14, 12A, 13A) to fit specific tooth anatomies.",Pearson,Pearson,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-200-013,RUBBER DAM CLAMP 14A,,"Stainless Steel Rubber Dam Clamps designed for secure retention of the dental dam. Available in various Winged and Wingless shapes (e.g., W14, 12A, 13A) to fit specific tooth anatomies.",Pearson,Pearson,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-200-014,RUBBER DAM CLAMP 2,,"Stainless Steel Rubber Dam Clamps designed for secure retention of the dental dam. Available in various Winged and Wingless shapes (e.g., W14, 12A, 13A) to fit specific tooth anatomies.",Pearson,Pearson,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-200-015,RUBBER DAM CLAMP 2A,,"Stainless Steel Rubber Dam Clamps designed for secure retention of the dental dam. Available in various Winged and Wingless shapes (e.g., W14, 12A, 13A) to fit specific tooth anatomies.",Pearson,Pearson,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-200-016,RUBBER DAM CLAMP 3,,"Stainless Steel Rubber Dam Clamps designed for secure retention of the dental dam. Available in various Winged and Wingless shapes (e.g., W14, 12A, 13A) to fit specific tooth anatomies.",Pearson,Pearson,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-200-017,RUBBER DAM CLAMP 4,,"Stainless Steel Rubber Dam Clamps designed for secure retention of the dental dam. Available in various Winged and Wingless shapes (e.g., W14, 12A, 13A) to fit specific tooth anatomies.",Pearson,Pearson,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-200-018,RUBBER DAM CLAMP 7,,"Stainless Steel Rubber Dam Clamps designed for secure retention of the dental dam. Available in various Winged and Wingless shapes (e.g., W14, 12A, 13A) to fit specific tooth anatomies.",Pearson,Pearson,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-200-019,RUBBER DAM CLAMP 8A,,"Stainless Steel Rubber Dam Clamps designed for secure retention of the dental dam. Available in various Winged and Wingless shapes (e.g., W14, 12A, 13A) to fit specific tooth anatomies.",Pearson,Pearson,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-200-020,RUBBER DAM CLAMP 9,,"Stainless Steel Rubber Dam Clamps designed for secure retention of the dental dam. Available in various Winged and Wingless shapes (e.g., W14, 12A, 13A) to fit specific tooth anatomies.",Pearson,Pearson,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-200-021,RUBBER DAM CLAMP W14,,"Stainless Steel Rubber Dam Clamps designed for secure retention of the dental dam. Available in various Winged and Wingless shapes (e.g., W14, 12A, 13A) to fit specific tooth anatomies.",Pearson,Pearson,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-200-022,RUBBER DAM FORCEPS,,Rubber Dam Forceps are designed for the safe placement and removal of rubber dam clamps.,Pearson,Pearson,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-200-023,RUBBER DAM FRAME,,"Rubber Dam Frame (Young's/Nygaard-Ostby type) designed to hold the dental dam sheet taut, providing a clear working field.",Pearson,Pearson,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-200-025,RUBBER DAM PUNCH,,"Rubber Dam Punch is a precision instrument used to create holes in dental dam sheets, adjustable for different tooth sizes.",Pearson,Pearson,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-200-024,RUBBER DAM FRAME (PEARSON),,"Rubber Dam Frame (Young's/Nygaard-Ostby type) designed to hold the dental dam sheet taut, providing a clear working field.",Pearson,Pearson,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-200-007,RUBBER DAM CLAMP #2 (PEARSON),RUBBER DAM CLAMP (PEARSON),"Stainless Steel Rubber Dam Clamps designed for secure retention of the dental dam. Available in various Winged and Wingless shapes (e.g., W14, 12A, 13A) to fit specific tooth anatomies.",Pearson,Pearson,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-200-008,RUBBER DAM CLAMP #2A (PEARSON),RUBBER DAM CLAMP A (PEARSON),"Stainless Steel Rubber Dam Clamps designed for secure retention of the dental dam. Available in various Winged and Wingless shapes (e.g., W14, 12A, 13A) to fit specific tooth anatomies.",Pearson,Pearson,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-200-005,RUBBER DAM CLAMP #12A (PEARSON,RUBBER DAM CLAMP A (PEARSON,"Stainless Steel Rubber Dam Clamps designed for secure retention of the dental dam. Available in various Winged and Wingless shapes (e.g., W14, 12A, 13A) to fit specific tooth anatomies.",Pearson,Pearson,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-200-006,RUBBER DAM CLAMP #13A (PEARSON,RUBBER DAM CLAMP A (PEARSON,"Stainless Steel Rubber Dam Clamps designed for secure retention of the dental dam. Available in various Winged and Wingless shapes (e.g., W14, 12A, 13A) to fit specific tooth anatomies.",Pearson,Pearson,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-200-009,RUBBER DAM CLAMP #9 (PEARSON),RUBBER DAM CLAMP (PEARSON),"Stainless Steel Rubber Dam Clamps designed for secure retention of the dental dam. Available in various Winged and Wingless shapes (e.g., W14, 12A, 13A) to fit specific tooth anatomies.",Pearson,Pearson,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-180-009,ROEKO GELATAMP BLISTER PACK (20/PK),,RoeKo Gelatamp is an absorbable gelatin sponge with 5% colloidal silver for reliable haemostasis and antibacterial protection. Resorbs completely within 4 weeks. Ideal for post-extraction sockets.,Roeko,Coltene,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-170-001,CANAL LUBRICANT (ROYDENT),,Roydent C.L. Canal Lubricant (17% EDTA) facilitates biomechanical preparation of the root canal by chelating calcifications and removing the smear layer. Lubricating action minimizes file binding.,Roydent,Roydent,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-200-002,HYSOLATE LATEX DENTAL DAM GREEN MEDIUM 127 X 127 (52PK),HYSOLATE LATEX DENTAL DAM 127 X 127 - Medium / Green,"Coltene Hysolate Latex Dental Dam is a powder-free, low-protein natural rubber dam for effective isolation. Provides excellent tear resistance and retraction.",Coltene,Coltene,HYSOLATE LATEX DENTAL DAM 127 X 127,Size,Medium,Color,Green,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-180-010,ROEKO PAPER POINT TOP COLOR ISO 20 (200PK),ROEKO PAPER POINT TOP COLOR - 20,Highly absorbent sterilized Paper Points for drying root canals. Color-coded ends for easy size identification.,Coltene,Coltene,ROEKO PAPER POINT TOP COLOR,Size,20,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-180-011,ROEKO PAPER POINT TOP COLOR ISO 30 (200PK),ROEKO PAPER POINT TOP COLOR - 30,Highly absorbent sterilized Paper Points for drying root canals. Color-coded ends for easy size identification.,Coltene,Coltene,ROEKO PAPER POINT TOP COLOR,Size,30,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-003,FALCON K-FILES #40 (25MM),FALCON K-FILE - 40 / 25mm,Falcon K-Files are standard stainless steel hand files for root canal preparation. Features a twisted square cross-section for durability and cutting efficiency.,Falcon,Falcon,FALCON K-FILE,Size,40,Length,25mm,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
